title,new_man,old_man,new_model,old_model
Dell,30557,30557,,
Dell,30557,30557,,
2 - Dell Latitude 5480 Intel Core i5 7th Gen Laptops Dell Latitude 5480,44154,30557,,
2 - Dell Latitude 5490 Intel Core i5 8th Gen Laptops Dell Latitude 5490,44154,30557,,
Dell,30557,30557,,
2 - Dell Latitude E5430 Intel Core i5 Laptops Dell Latitude E5430,44154,30557,,
Dell,30557,30557,,
2 - Dell Latitude E5520 Intel Core i5 Laptops Dell Latitude E5520,44154,30557,,
Toshiba,1912,1912,,
1 - Toshiba Satellite Pro L770-149 Intel Core i5 Laptop Toshiba Satellite Pro L770-149,44154,1912,,
Dell,30557,30557,,
1 - Dell Intel Core i7 Laptop Dell,44154,30557,,
Dell,30557,30557,,
1 - Dell Precision 2520 Intel Core i7 7th Gen Laptop Dell Precision 2520,44154,30557,,
Dell,30557,30557,,
1 - Dell Latitude E7240 Intel Core i7 Vpro Laptop Dell Latitude E7240,44154,30557,,
Dell,30557,30557,,
1 - Dell Latitude E64540 Intel Core i7 Vpro Laptop Dell Latitude E64540,44154,30557,,
Dell,30557,30557,,
2 - Dell Latitude E6230 Intel Core i5 Laptops Dell Latitude E6230,44154,30557,,
Dell,30557,30557,,
1 - Dell Latitude E6330 Intel Core i5 Laptop Dell Latitude E6330,44154,30557,,
